date,value
1961,3.7905
1962,5.3165
1963,5.1849
1964,6.5585
1965,5.5492
1966,5.7125
1967,4.1566
1968,5.9411
1969,5.8159
1970,3.9285
1971,4.2745
1972,5.6189
1973,6.4066
1974,1.7936
1975,0.6366
1976,5.3031
1977,4.099
1978,4.137
1979,4.1746
1980,1.8772
1981,1.9336
1982,0.3944
1983,2.65
1984,4.6757
1985,3.6995
1986,3.4437
1987,3.7315
1988,4.6402
1989,3.7536
1990,2.8682
1991,1.4603
1992,2.0701
1993,1.8082
1994,3.3065
1995,3.0908
1996,3.6207
1997,3.9047
1998,2.7943
1999,3.5232
2000,4.4873
2001,1.9968
2002,2.3289
2003,3.1508
2004,4.4936
2005,4.0431
2006,4.4762
2007,4.4774
2008,2.0664
2009,-1.3258
2010,4.5323
2011,3.321
2012,2.7072
2013,2.8198
2014,3.0559
2015,3.0811
2016,2.7989
2017,3.3795
2018,3.2766
2019,2.6149
2020,-3.2712
2021,5.8021
